aiw	Aari
aas	Aasáx
kbt	Abadi
abg	Abaga
abf	Abai Sungai
abm	Abanyom
mij	Abar
aau	Abau
abq	Abaza
aba	Abé
abp	Abellen Ayta
abi	Abidji
bsa	Abinomn
axb	Abipon
ash	Abishira
abk	Abkhazian
aob	Abom
abo	Abon
abr	Abron
ado	Abu
aah	Abu' Arapesh
abn	Abua
abz	Abui
kgr	Abun
abu	Abure
mgj	Abureni
tpx	Acatepec Me'phaa
aca	Achagua
acn	Achang
yif	Ache
guq	Aché
acz	Acheron
acr	Achi
ace	Achinese
act	Achterhoeks
acu	Achuar-Shiwiar
acv	Achumawi
ach	Acoli
acs	Acroá
adb	Adabe
xad	Adai
fub	Adamawa Fulfulde
ads	Adamorobe Sign Language
adn	Adang
adq	Adangbe
ada	Adangme
kad	Adara
tiu	Adasen
ade	Adele
adh	Adhola
adi	Adi
wsg	Adilabad Gondi
adj	Adioukrou
dth	Adithinngithigh
ort	Adivasi Oriya
gas	Adiwasi Garasia
adt	Adnyamathanha
adr	Adonara
adu	Aduge
ady	Adyghe
adz	Adzera
aez	Aeka
awi	Aekyom
xae	Aequian
aeq	Aer
aal	Afade
aar	Afar
afg	Afghan Sign Language
aft	Afitti
afh	Afrihili
afr	Afrikaans
afs	Afro-Seminole Creole
agd	Agarabi
agi	Agariya
agc	Agatu
avo	Agavotaguerra
agq	Aghem
ahh	Aghu
agx	Aghul
gtu	Aghu-Tharnggala
xag	Aghwan
aif	Agi
kit	Agob
ibm	Agoi
agu	Aguacateco
aga	Aguano
agr	Aguaruna
aug	Aguna
msm	Agusan Manobo
agn	Agutaynen
yay	Agwagwune
ahn	Àhàn
aha	Ahanta
esg	Aheri Gondi
thm	Aheu
ahr	Ahirani
aho	Ahom
aht	Ahtena
nfd	Ahwai
aih	Ai-Cham
aix	Aighon
tba	Aikanã
mwg	Aiklep
aiq	Aimaq
ail	Aimele
aim	Aimol
aic	Ainbai
aib	Ainu (China)
